time;x;y
35282;9999;0
35282;9999;-1
35353;9999;8
35353;6.4;7
35353;12.3;6
35353;18.15;5
35353;25;4
35353;31.63;3
35353;37.65;2
35353;9999;1
35353;9999;0
35353;9999;-1
35411;4.54;8
35411;10.58;7
35411;16.69;6
35411;22.65;5
35411;27;4
35411;33.66;3
35411;46;2
35411;64.98;1
35411;9999;0
35411;9999;-1
35486;9999;8
35486;4.24;7
35486;12.71;6
35486;25.85;5
35486;32.29;4
35486;40.18;3
35486;9999;2
35486;9999;1
35486;9999;0
35486;9999;-1
35543;4.07;8
35543;9.88;7
35543;15.29;6
35543;25.77;5
35543;36.03;4
35543;43.04;3
35543;52.58;2
35543;9999;1
35543;9999;0
35543;9999;-1
35601;4.64;8
35601;11.79;7
35601;18.09;6
35601;23.71;5
35601;32.1;4
35601;39.35;3
35601;9999;2
35601;9999;1
35601;9999;0
35601;9999;-1
35661;9999;8
35661;4.42;7
35661;6.61;6
35661;12.23;5
35661;15.07;4
35661;22.28;3
35661;29.5;2
35661;9999;1
35661;9999;0
35661;9999;-1
35723;9999;8
35723;2.55;7
35723;8.08;6
35723;13.61;5
35723;19.26;4
35723;26.01;3
35723;36.28;2
35723;9999;1
35723;9999;0
35723;9999;-1
35779;9999;8
35779;3.13;7
35779;9.51;6
35779;16.24;5
35779;25.06;4
35779;35.32;3
35779;52.89;2
35779;9999;1
35779;9999;0
35779;9999;-1
35838;9999;8
35838;3.22;7
35838;9.8;6
35838;18.8;5
35838;33.99;4
35838;44.48;3
35838;59.39;2
35838;9999;1
35838;9999;0
35838;9999;-1
35909;3.34;8
35909;9;7
35909;14.66;6
35909;33.17;5
35909;42.48;4
35909;51.68;3
35909;9999;2
35909;9999;1
35909;9999;0
35909;9999;-1
35958;3.94;8
35958;10.19;7
35958;17.45;6
35958;28.09;5
35958;35.39;4
35958;41.97;3
35958;49.63;2
35958;9999;1
35958;9999;0
35958;9999;-1
36018;4.61;8
36018;9.11;7
36018;14.77;6
36018;24.9;5
36018;32.3;4
36018;39.28;3
36018;47.7;2
36018;9999;1
36018;9999;0
36018;9999;-1
36075;5.51;8
36075;11.14;7
36075;14.13;6
36075;18.78;5
36075;28.11;4
36075;38.6;3
36075;50.22;2
36075;9999;1
36075;9999;0
36075;9999;-1
36132;9999;8
36132;3.58;7
36132;8.36;6
36132;14.57;5
36132;20.77;4
36132;27.98;3
36132;37.25;2
36132;47.65;1
36132;9999;0
36132;9999;-1
36192;9999;8
36192;9999;7
36192;3.28;6
36192;9.98;5
36192;20.43;4
36192;33.73;3
36192;40.4;2
36192;49.27;1
36192;9999;0
36192;9999;-1
36265;9999;8
36265;9999;7
36265;3.42;6
36265;10.84;5
36265;27.22;4
36265;34.52;3
36265;44.19;2
36265;62.14;1
36265;9999;0
36265;9999;-1
36340;9999;8
36340;9999;7
36340;4.63;6
36340;12.09;5
36340;31;4
36340;45.16;3
36340;53.01;2
36340;61.81;1
36340;9999;0
36340;9999;-1
36402;9999;8
36402;9999;7
36402;3.58;6
36402;12.1;5
36402;32.07;4
36402;39.72;3
36402;48.63;2
36402;60.38;1
36402;9999;0
36402;9999;-1
36472;9999;8
36472;9999;7
36472;4.71;6
36472;14.51;5
36472;23.04;4
36472;29.25;3
36472;37.54;2
36472;46.07;1
36472;9999;0
36472;9999;-1
36502;9999;8
36502;9999;7
36502;4.66;6
36502;14.8;5
36502;22.66;4
36502;30.61;3
36502;40.82;2
36502;51.78;1
36502;9999;0
36502;9999;-1
36573;9999;8
36573;9999;7
36573;4.47;6
36573;14.4;5
36573;26.28;4
36573;36.51;3
36573;46.43;2
36573;60.66;1
36573;9999;0
36573;9999;-1
36622;9999;8
36622;9999;7
36622;4.57;6
36622;13.88;5
36622;26.28;4
36622;34.67;3
36622;41.25;2
36622;48.2;1
36622;9999;0
36622;9999;-1
36696;9999;8
36696;9999;7
36696;5.03;6
36696;16.14;5
36696;35.85;4
36696;49.57;3
36696;61.35;2
36696;73.65;1
36696;9999;0
36696;9999;-1
36752;9999;8
36752;9999;7
36752;5.85;6
36752;17.92;5
36752;32.73;4
36752;39.22;3
36752;45.69;2
36752;51.98;1
36752;9999;0
36752;9999;-1
36826;9999;8
36826;9999;7
36826;5.24;6
36826;16.66;5
36826;25.86;4
36826;34.02;3
36826;41.34;2
36826;49.31;1
36826;9999;0
36826;9999;-1
36872;9999;8
36872;9999;7
36872;4.57;6
36872;15.11;5
36872;20.71;4
36872;26.31;3
36872;33.42;2
36872;43.49;1
36872;9999;0
36872;9999;-1
36934;9999;8
36934;9999;7
36934;3.98;6
36934;13.01;5
36934;20.52;4
36934;27.59;3
36934;36.31;2
36934;9999;1
36934;9999;0
36934;9999;-1
37050;9999;8
37050;9999;7
37050;5.19;6
37050;16;5
37050;21.22;4
37050;31.73;3
37050;40.4;2
37050;50.28;1
37050;9999;0
37050;9999;-1
37153;9999;8
37153;9999;7
37153;5.37;6
37153;16.5;5
37153;27.11;4
37153;33.41;3
37153;40.65;2
37153;48.55;1
37153;57.43;0
37153;9999;-1
37197;9999;8
37197;9999;7
37197;5.91;6
37197;16.96;5
37197;24.08;4
37197;30;3
37197;37.58;2
37197;45.3;1
37197;9999;0
37197;9999;-1
37272;9999;8
37272;9999;7
37272;4.91;6
37272;13.53;5
37272;20.76;4
37272;27.71;3
37272;34.76;2
37272;41.87;1
37272;9999;0
37272;9999;-1
37300;9999;8
37300;9999;7
37300;6.18;6
37300;16.57;5
37300;24.45;4
37300;30.83;3
37300;40.09;2
37300;55.37;1
37300;9999;0
37300;9999;-1
37357;9999;8
37357;9999;7
37357;6.67;6
37357;15.41;5
37357;23.51;4
37357;33.73;3
37357;42.2;2
37357;52.28;1
37357;9999;0
37357;9999;-1
37420;9999;8
37420;9999;7
37420;6.73;6
37420;17.1;5
37420;28.12;4
37420;35.21;3
37420;41.49;2
37420;57;1
37420;9999;0
37420;9999;-1
37476;9999;8
37476;9999;7
37476;6.8;6
37476;16.36;5
37476;22.32;4
37476;26.79;3
37476;33.04;2
37476;43.91;1
37476;9999;0
37476;9999;-1
37552;9999;8
37552;9999;7
37552;5.21;6
37552;12.15;5
37552;18.72;4
37552;25.02;3
37552;32.4;2
37552;43.85;1
37552;9999;0
37552;9999;-1
37594;9999;8
37594;9999;7
37594;5.1;6
37594;10.82;5
37594;18.43;4
37594;30.57;3
37594;36.87;2
37594;43.17;1
37594;9999;0
37594;9999;-1
37669;9999;8
37669;9999;7
37669;4.54;6
37669;11.75;5
37669;23.15;4
37669;30;3
37669;37.69;2
37669;45.28;1
37669;9999;0
37669;9999;-1
37727;9999;8
37727;9999;7
37727;6.74;6
37727;17.67;5
37727;29.36;4
37727;35.02;3
37727;41.72;2
37727;52.02;1
37727;9999;0
37727;9999;-1
37791;9999;8
37791;9999;7
37791;7.26;6
37791;16.66;5
37791;25.86;4
37791;34.23;3
37791;41.92;2
37791;48.9;1
37791;9999;0
37791;9999;-1
37862;9999;8
37862;1.24;7
37862;9.02;6
37862;16.03;5
37862;20.68;4
