,cps,season,copula,tau,pe,pm,ze,zm,pexp
0,CP08,sum,N12,0.5926286425809775,1.244154593958768,1.1019400787607843,0.9983480176211453,0.9955947136563876,
1,CP08,win,N12,0.60491069305873,1.3812818192963463,1.2919836816486494,0.9980079681274899,0.99468791500664,
2,CP08,aut,N12,0.6100660913826749,1.3270750014599193,1.199964782928397,0.9979674796747967,0.994579945799458,
3,CP08,spr,N12,0.5461202767429484,1.1600209167967532,1.1085626195212777,0.9981024667931688,0.9949399114484503,
4,CP15,sum,N12,0.6247228670663191,1.3454723665996355,1.0367368849500223,0.997994652406417,0.9946524064171123,
5,CP15,win,N12,0.6445051847616007,1.332366019094335,1.2296405510745139,0.9977116704805491,0.9938977879481311,
6,CP15,aut,N12,0.7129178005191071,1.3962446919730587,1.3711807233098425,0.9980781550288276,0.9948750800768738,
7,CP15,spr,N12,0.5819192354069727,1.3137236682850553,1.244154593958768,0.9983012457531143,0.9954699886749716,
8,CP12,sum,N12,0.649465802083723,1.3837912309017721,1.2725655957915476,0.9977794226498888,0.9940784603997038,
9,CP12,win,N12,0.6953913009536522,1.2029723039923526,1.1878434223960523,0.9979674796747967,0.994579945799458,
10,CP12,aut,N12,0.6786706889562826,1.6193882432872684,1.4182774069729414,0.9983965793693211,0.9957242116515231,
11,CP12,spr,N12,0.6037349319398174,1.4562867329399256,1.2237754316221157,0.9979879275653922,0.9946344735077128,
12,CP06,sum,N12,0.5409852813458496,1.2781522025001875,1.0508216248317612,0.9973357015985791,0.9928952042628775,
13,CP06,win,N12,0.6001155689651116,1.5303947050936475,1.5303947050936475,0.9975429975429976,0.9934479934479935,3.308346275355899
14,CP06,aut,N12,0.6293887731856468,1.55814461804655,1.4134230285081433,0.997639653815893,0.9937057435090481,
15,CP06,spr,N12,0.5155953397017028,1.1151415906193203,1.1151415906193203,0.9980276134122287,0.99474030243261,
16,CP07,sum,N12,0.6909550469058818,1.4973884086254774,1.3862943611198906,0.998108448928121,0.9949558638083228,
17,CP07,win,N12,0.6037399838528171,1.3787660946990992,1.358409157630355,0.996594778660613,0.9909194097616345,
18,CP07,aut,N12,0.7407822122969091,2.0412203288596382,1.9329696377795786,0.9981549815498154,0.995079950799508,2.7028008108914072
19,CP07,spr,N12,0.6213718413266797,1.6956156086751528,1.6845453849209058,0.997787610619469,0.9941002949852507,2.888865483433086
20,CP03,sum,N12,0.535814767182563,1.1378330018213911,0.9969486348916096,0.998220640569395,0.9952550415183866,
21,CP03,win,N12,0.6255573593586441,1.5644405465033646,1.5085119938441398,0.998220640569395,0.9952550415183866,3.334670408945538
22,CP03,aut,N12,0.6707366408506646,1.6193882432872684,1.5644405465033646,0.9979879275653922,0.9946344735077128,3.051158921683401
23,CP03,spr,N12,0.6151876869013634,1.3376291891386096,1.275362800412609,0.9978118161925601,0.9941648431801604,
24,CP14,sum,N12,0.6512073283586302,1.091923300517313,1.0681530811834012,0.9978038067349926,0.994143484626647,
25,CP14,win,N12,0.6401826381213779,1.2029723039923526,0.9783261227936078,0.9980276134122287,0.99474030243261,
26,CP14,aut,N12,0.6487754838569805,1.5496879080283263,1.3987168811184478,0.9980079681274899,0.99468791500664,
27,CP14,spr,N12,0.5641305525426455,1.3029127521808397,1.2669476034873244,0.9982153480071385,0.9952409280190362,
28,CP01,sum,N12,0.5438050567635982,1.1052568313867783,1.085189268335969,0.9988768251591164,0.9970048670909771,
29,CP01,win,N12,0.6159985048052026,1.2267122912954254,1.1568811967920856,0.9992002132764596,0.9978672354038922,
30,CP01,aut,N12,0.6440907016819243,1.6956156086751528,1.6331544390514163,0.999078624078624,0.9975429975429975,3.7523534566723318
31,CP01,spr,N12,0.5525662825992883,1.2947271675944,1.2781522025001875,0.9992023398032438,0.9978729061419835,
32,CP13,sum,N12,0.6219535420950942,1.269760544863939,1.2029723039923526,0.9980468749999999,0.9947916666666666,
33,CP13,win,N12,0.6493388748403505,1.6389967146756448,1.556037135706985,0.997639653815893,0.9937057435090481,3.141622020828287
34,CP13,aut,N12,0.7222502639359112,1.824549292051046,1.7029282555214393,0.9978586723768735,0.9942897930049963,2.7475151880244266
35,CP13,spr,N12,0.5797998374576091,1.4398351280479205,1.423108334242607,0.997090203685742,0.9922405431619787,
36,CP02,sum,N12,0.6346534725849736,1.0438040521731147,0.9932517730102834,0.9983202687569989,0.9955207166853303,
37,CP02,win,N12,0.6389765998802055,1.4327007339340465,1.3762440252663892,0.9986876640419947,0.9965004374453192,
38,CP02,aut,N12,0.5933842051157611,1.3737155789130306,1.3164082336557241,0.9983480176211453,0.9955947136563876,
39,CP02,spr,N12,0.5345868094435121,1.199964782928397,1.1410330045520618,0.9988510149368057,0.9969360398314822,
40,CP99,sum,N12,0.7021461814166078,1.0508216248317612,0.9082585601768908,0.98828125,0.96875,
